Video Time,Commenter,Time,Comment
,Mizan Rahman,,Allah-hu-akbor..
,Mohammed Shamim,,"গুড,,,,"
,Abdul Motin,,অন্তর্বর্তীকালীন সরকার মিনিমাম ৫ বছর থাকা উচিৎ।
,Mahdia kalam Chowdhury,,Hasinar fashi chai
,Music Mania,,কমেন্ট লীগ
,AAT Technology 2024,,prio neta
,MD Rahim,,বাজারের জিনিসপত্রের দাম কমিয়ে দিন
,Monirul Hasan Sarker,,সবাই কেমন আছেন
,MD Emran Hossain,,বাংলাদেশকে নিয়ে অনেক বড় ধরনের ষড়যন্ত্র চলতেছে যার ইন্দন দাতা ভারত সেভাবে বুঝে আমাদের প্রত্যেককে সতর্ক থাকতে হবে
,Traveler Galib,,এমন রাষ্ট্রপ্রধান তো চেয়েছিলাম আমরা
,MD Ibrahim Hossain,,শেখ হাসিনা কে তাড়াতাড়ি দেশে আনা হোক এবং তাড়াতাড়ি বিচার করা হোক
,Jisan,,হারপিক লীগ মানেই বিনোদন
,MD MAHMUDUL HASAN,,ore baba onek kisu korbi. Faruki and Bashir k ke niyog dise? lig abar upodeshta hoye firse
,Al Amin,,জয়
,MD Siyam,,তুমি আসার পরে। দেশ আর ঠিক নাই
